Using executor HDDTestExecutor with executor options:
{
	m_modulePath='/home/lukasbosshart/workspace/defects4j/bugs/jsoup_9_b/',
	m_sourceFolderPath='src/main/java/',
	m_unitTestFolderPath='src/test/java/',
	m_unitTestMethod='org.jsoup.nodes.EntitiesTest#unescape',
	m_expectedResult='org.junit.ComparisonFailure',
	m_compilationType=IN_MEMORY,
	m_logLevel=INFO,
	m_logCompilationErrors=false,
	m_logRuntimeErrors=false,
	m_multipleRuns=true,
	m_numberOfThreads=16,
	m_preSliceCode=false,
	m_graphAlgorithmFragmentLimit=0,
	m_graphAlgorithmEscalatingFragmentLimit=false,
}
Formatting code in source folder
Level: 0 :::: fragments: 28
Level: 1 :::: fragments: 173
Level: 2 :::: fragments: 1374
Level: 3 :::: fragments: 3537
Level: 4 :::: fragments: 4756
Level: 5 :::: fragments: 7117
Level: 6 :::: fragments: 2641
Level: 7 :::: fragments: 1788
Level: 8 :::: fragments: 1143
Level: 9 :::: fragments: 758
Level: 10 :::: fragments: 455
Level: 11 :::: fragments: 283
Level: 12 :::: fragments: 168
Level: 13 :::: fragments: 122
Level: 14 :::: fragments: 38
Level: 15 :::: fragments: 21
Level: 16 :::: fragments: 18
Level: 17 :::: fragments: 15
Level: 18 :::: fragments: 13
Level: 19 :::: fragments: 8
Level: 20 :::: fragments: 11
Level: 21 :::: fragments: 45
Level: 22 :::: fragments: 1
Total :::: fragments: 24513 out of 24513 originally
############## RUNNING TEST NR. 0 ##############
############## EXECUTING LVL 0-0 / 22 ##############
:::: FAILED :::: level: 0-0 / 22 :::: size: 28 / 28 :::: Compiler calls: 2, compilation errors: 1, runtime errors: 0, failed runs: 1, ok runs: 0
:::: FAILED :::: level: 0-0 / 22 :::: size: 27 / 28 :::: Compiler calls: 60, compilation errors: 49, runtime errors: 0, failed runs: 2, ok runs: 0
Level 0-0 / 22 took 7s 995ms
1111011111111111111111111111
############## After level 0-0 there are 24268 / 24513 fragments left :::: Compiler calls: 87, compilation errors: 85, runtime errors: 0, failed runs: 2, ok runs: 0
############## EXECUTING LVL 0-1 / 22 ##############
:::: FAILED :::: level: 0-1 / 22 :::: size: 164 / 165 :::: Compiler calls: 242, compilation errors: 226, runtime errors: 0, failed runs: 3, ok runs: 0
:::: FAILED :::: level: 0-1 / 22 :::: size: 164 / 165 :::: Compiler calls: 243, compilation errors: 227, runtime errors: 0, failed runs: 4, ok runs: 0
:::: FAILED :::: level: 0-1 / 22 :::: size: 163 / 165 :::: Compiler calls: 272, compilation errors: 255, runtime errors: 0, failed runs: 5, ok runs: 0
Level 0-1 / 22 took 19s 233ms
111110110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
############## After level 0-1 there are 24258 / 24513 fragments left :::: Compiler calls: 565, compilation errors: 560, runtime errors: 0, failed runs: 5, ok runs: 0
############## EXECUTING LVL 0-2 / 22 ##############
:::: FAILED :::: level: 0-2 / 22 :::: size: 1333 / 1335 :::: Compiler calls: 1252, compilation errors: 1234, runtime errors: 0, failed runs: 6, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1330 / 1335 :::: Compiler calls: 1441, compilation errors: 1424, runtime errors: 1, failed runs: 7, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1328 / 1335 :::: Compiler calls: 1632, compilation errors: 1611, runtime errors: 3, failed runs: 8, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1325 / 1335 :::: Compiler calls: 1834, compilation errors: 1809, runtime errors: 5, failed runs: 9, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1322 / 1335 :::: Compiler calls: 2042, compilation errors: 2019, runtime errors: 6, failed runs: 10, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1320 / 1335 :::: Compiler calls: 2214, compilation errors: 2185, runtime errors: 6, failed runs: 11, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1318 / 1335 :::: Compiler calls: 2405, compilation errors: 2376, runtime errors: 7, failed runs: 12, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1316 / 1335 :::: Compiler calls: 2725, compilation errors: 2695, runtime errors: 7, failed runs: 13, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1314 / 1335 :::: Compiler calls: 2944, compilation errors: 2914, runtime errors: 7, failed runs: 14, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1312 / 1335 :::: Compiler calls: 3211, compilation errors: 3176, runtime errors: 8, failed runs: 15, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1310 / 1335 :::: Compiler calls: 3598, compilation errors: 3567, runtime errors: 8, failed runs: 16, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1308 / 1335 :::: Compiler calls: 3806, compilation errors: 3770, runtime errors: 9, failed runs: 17, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1306 / 1335 :::: Compiler calls: 4135, compilation errors: 4095, runtime errors: 9, failed runs: 18, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1304 / 1335 :::: Compiler calls: 4394, compilation errors: 4356, runtime errors: 9, failed runs: 19, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1302 / 1335 :::: Compiler calls: 4661, compilation errors: 4620, runtime errors: 10, failed runs: 20, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1300 / 1335 :::: Compiler calls: 5117, compilation errors: 5073, runtime errors: 10, failed runs: 21, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1298 / 1335 :::: Compiler calls: 5512, compilation errors: 5465, runtime errors: 11, failed runs: 22, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1296 / 1335 :::: Compiler calls: 5877, compilation errors: 5830, runtime errors: 11, failed runs: 23, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1294 / 1335 :::: Compiler calls: 6337, compilation errors: 6290, runtime errors: 11, failed runs: 24, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1292 / 1335 :::: Compiler calls: 6720, compilation errors: 6670, runtime errors: 17, failed runs: 25, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1290 / 1335 :::: Compiler calls: 7148, compilation errors: 7096, runtime errors: 17, failed runs: 26, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1288 / 1335 :::: Compiler calls: 7619, compilation errors: 7563, runtime errors: 17, failed runs: 27, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1286 / 1335 :::: Compiler calls: 8015, compilation errors: 7952, runtime errors: 22, failed runs: 28, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1284 / 1335 :::: Compiler calls: 8468, compilation errors: 8405, runtime errors: 22, failed runs: 29, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1282 / 1335 :::: Compiler calls: 8929, compilation errors: 8863, runtime errors: 25, failed runs: 30, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1280 / 1335 :::: Compiler calls: 9412, compilation errors: 9345, runtime errors: 28, failed runs: 31, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1278 / 1335 :::: Compiler calls: 9833, compilation errors: 9760, runtime errors: 28, failed runs: 32, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1276 / 1335 :::: Compiler calls: 10294, compilation errors: 10222, runtime errors: 28, failed runs: 33, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1274 / 1335 :::: Compiler calls: 10755, compilation errors: 10680, runtime errors: 28, failed runs: 34, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1273 / 1335 :::: Compiler calls: 11263, compilation errors: 11186, runtime errors: 28, failed runs: 35, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1272 / 1335 :::: Compiler calls: 11291, compilation errors: 11213, runtime errors: 31, failed runs: 36, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1271 / 1335 :::: Compiler calls: 11325, compilation errors: 11243, runtime errors: 33, failed runs: 37, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1270 / 1335 :::: Compiler calls: 11364, compilation errors: 11283, runtime errors: 34, failed runs: 38, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1269 / 1335 :::: Compiler calls: 11455, compilation errors: 11370, runtime errors: 34, failed runs: 39, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1268 / 1335 :::: Compiler calls: 11547, compilation errors: 11459, runtime errors: 36, failed runs: 40, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1267 / 1335 :::: Compiler calls: 11635, compilation errors: 11545, runtime errors: 37, failed runs: 41, ok runs: 0
:::: FAILED :::: level: 0-2 / 22 :::: size: 1266 / 1335 :::: Compiler calls: 11741, compilation errors: 11648, runtime errors: 37, failed runs: 42, ok runs: 0
