Using executor CodeLineTestExecutor with executor options:
{
	m_modulePath='/home/lukasbosshart/workspace/defects4j/bugs/cli_1_b/',
	m_sourceFolderPath='src/java/',
	m_unitTestFolderPath='src/test/',
	m_unitTestMethod='org.apache.commons.cli.bug.BugCLI13Test#testCLI13',
	m_expectedResult='junit.framework.AssertionFailedError',
	m_compilationType=IN_MEMORY,
	m_logLevel=INFO,
	m_logCompilationErrors=false,
	m_logRuntimeErrors=false,
	m_multipleRuns=false,
	m_numberOfThreads=16,
	m_preSliceCode=false,
	m_graphAlgorithmFragmentLimit=0,
	m_graphAlgorithmEscalatingFragmentLimit=false,
}
############## RUNNING TEST NR. 0 ##############
Formatting code in source folder
:::: FAILED :::: size: 4045 / 4045 :::: Compiler calls: 2, compilation errors: 1, runtime errors: 0, failed runs: 1, ok runs: 0
:::: FAILED :::: size: 4013 / 4045 :::: Compiler calls: 203, compilation errors: 186, runtime errors: 0, failed runs: 2, ok runs: 0
:::: FAILED :::: size: 4014 / 4045 :::: Compiler calls: 204, compilation errors: 186, runtime errors: 0, failed runs: 3, ok runs: 0
:::: FAILED :::: size: 4013 / 4045 :::: Compiler calls: 204, compilation errors: 186, runtime errors: 0, failed runs: 4, ok runs: 0
:::: FAILED :::: size: 3981 / 4045 :::: Compiler calls: 264, compilation errors: 244, runtime errors: 0, failed runs: 5, ok runs: 0
:::: FAILED :::: size: 3982 / 4045 :::: Compiler calls: 278, compilation errors: 258, runtime errors: 0, failed runs: 6, ok runs: 0
:::: FAILED :::: size: 3950 / 4045 :::: Compiler calls: 343, compilation errors: 321, runtime errors: 0, failed runs: 7, ok runs: 0
:::: FAILED :::: size: 3918 / 4045 :::: Compiler calls: 391, compilation errors: 369, runtime errors: 0, failed runs: 8, ok runs: 0
:::: FAILED :::: size: 3887 / 4045 :::: Compiler calls: 461, compilation errors: 437, runtime errors: 0, failed runs: 9, ok runs: 0
:::: FAILED :::: size: 3887 / 4045 :::: Compiler calls: 462, compilation errors: 444, runtime errors: 0, failed runs: 10, ok runs: 0
:::: FAILED :::: size: 3855 / 4045 :::: Compiler calls: 542, compilation errors: 516, runtime errors: 0, failed runs: 11, ok runs: 0
:::: FAILED :::: size: 3856 / 4045 :::: Compiler calls: 542, compilation errors: 518, runtime errors: 0, failed runs: 12, ok runs: 0
:::: FAILED :::: size: 3839 / 4045 :::: Compiler calls: 702, compilation errors: 676, runtime errors: 0, failed runs: 13, ok runs: 0
:::: FAILED :::: size: 3839 / 4045 :::: Compiler calls: 707, compilation errors: 688, runtime errors: 0, failed runs: 14, ok runs: 0
:::: FAILED :::: size: 3839 / 4045 :::: Compiler calls: 707, compilation errors: 688, runtime errors: 0, failed runs: 15, ok runs: 0
:::: FAILED :::: size: 3839 / 4045 :::: Compiler calls: 707, compilation errors: 688, runtime errors: 0, failed runs: 16, ok runs: 0
:::: FAILED :::: size: 3839 / 4045 :::: Compiler calls: 707, compilation errors: 688, runtime errors: 0, failed runs: 17, ok runs: 0
:::: FAILED :::: size: 3823 / 4045 :::: Compiler calls: 761, compilation errors: 728, runtime errors: 0, failed runs: 18, ok runs: 0
:::: FAILED :::: size: 3823 / 4045 :::: Compiler calls: 764, compilation errors: 731, runtime errors: 0, failed runs: 19, ok runs: 0
:::: FAILED :::: size: 3823 / 4045 :::: Compiler calls: 765, compilation errors: 731, runtime errors: 0, failed runs: 20, ok runs: 0
:::: FAILED :::: size: 3823 / 4045 :::: Compiler calls: 765, compilation errors: 731, runtime errors: 0, failed runs: 21, ok runs: 0
:::: FAILED :::: size: 3823 / 4045 :::: Compiler calls: 765, compilation errors: 735, runtime errors: 0, failed runs: 22, ok runs: 0
:::: FAILED :::: size: 3823 / 4045 :::: Compiler calls: 765, compilation errors: 735, runtime errors: 0, failed runs: 23, ok runs: 0
:::: FAILED :::: size: 3807 / 4045 :::: Compiler calls: 797, compilation errors: 758, runtime errors: 0, failed runs: 24, ok runs: 0
:::: FAILED :::: size: 3807 / 4045 :::: Compiler calls: 798, compilation errors: 760, runtime errors: 0, failed runs: 25, ok runs: 0
:::: FAILED :::: size: 3791 / 4045 :::: Compiler calls: 839, compilation errors: 799, runtime errors: 0, failed runs: 26, ok runs: 0
:::: FAILED :::: size: 3791 / 4045 :::: Compiler calls: 846, compilation errors: 811, runtime errors: 0, failed runs: 27, ok runs: 0
:::: FAILED :::: size: 3791 / 4045 :::: Compiler calls: 847, compilation errors: 811, runtime errors: 0, failed runs: 28, ok runs: 0
:::: FAILED :::: size: 3775 / 4045 :::: Compiler calls: 903, compilation errors: 860, runtime errors: 0, failed runs: 29, ok runs: 0
:::: FAILED :::: size: 3775 / 4045 :::: Compiler calls: 905, compilation errors: 861, runtime errors: 0, failed runs: 30, ok runs: 0
:::: FAILED :::: size: 3775 / 4045 :::: Compiler calls: 914, compilation errors: 869, runtime errors: 0, failed runs: 31, ok runs: 0
:::: FAILED :::: size: 3759 / 4045 :::: Compiler calls: 953, compilation errors: 906, runtime errors: 0, failed runs: 32, ok runs: 0
:::: FAILED :::: size: 3759 / 4045 :::: Compiler calls: 954, compilation errors: 918, runtime errors: 0, failed runs: 33, ok runs: 0
:::: FAILED :::: size: 3759 / 4045 :::: Compiler calls: 954, compilation errors: 918, runtime errors: 0, failed runs: 34, ok runs: 0
:::: FAILED :::: size: 3743 / 4045 :::: Compiler calls: 1019, compilation errors: 969, runtime errors: 0, failed runs: 35, ok runs: 0
:::: FAILED :::: size: 3743 / 4045 :::: Compiler calls: 1026, compilation errors: 975, runtime errors: 0, failed runs: 36, ok runs: 0
:::: FAILED :::: size: 3727 / 4045 :::: Compiler calls: 1086, compilation errors: 1034, runtime errors: 0, failed runs: 37, ok runs: 0
