Using executor CodeLineTestExecutor with executor options:
{
	m_modulePath='/home/lukasbosshart/workspace/defects4j/bugs/cli_1_b/',
	m_sourceFolderPath='src/java/',
	m_unitTestFolderPath='src/test/',
	m_unitTestMethod='org.apache.commons.cli.bug.BugCLI13Test#testCLI13',
	m_expectedResult='junit.framework.AssertionFailedError',
	m_compilationType=IN_MEMORY,
	m_logLevel=INFO,
	m_logCompilationErrors=false,
	m_logRuntimeErrors=false,
	m_multipleRuns=true,
	m_numberOfThreads=16,
	m_preSliceCode=false,
	m_graphAlgorithmFragmentLimit=0,
	m_graphAlgorithmEscalatingFragmentLimit=false,
}
############## RUNNING TEST NR. 0 ##############
Formatting code in source folder
:::: FAILED :::: size: 4045 / 4045 :::: Compiler calls: 2, compilation errors: 1, runtime errors: 0, failed runs: 1, ok runs: 0
:::: FAILED :::: size: 4013 / 4045 :::: Compiler calls: 171, compilation errors: 154, runtime errors: 0, failed runs: 2, ok runs: 0
:::: FAILED :::: size: 3981 / 4045 :::: Compiler calls: 228, compilation errors: 210, runtime errors: 0, failed runs: 3, ok runs: 0
:::: FAILED :::: size: 3982 / 4045 :::: Compiler calls: 229, compilation errors: 219, runtime errors: 0, failed runs: 4, ok runs: 0
:::: FAILED :::: size: 3950 / 4045 :::: Compiler calls: 321, compilation errors: 301, runtime errors: 0, failed runs: 5, ok runs: 0
:::: FAILED :::: size: 3919 / 4045 :::: Compiler calls: 392, compilation errors: 371, runtime errors: 0, failed runs: 6, ok runs: 0
:::: FAILED :::: size: 3918 / 4045 :::: Compiler calls: 393, compilation errors: 379, runtime errors: 0, failed runs: 7, ok runs: 0
:::: FAILED :::: size: 3888 / 4045 :::: Compiler calls: 477, compilation errors: 455, runtime errors: 0, failed runs: 8, ok runs: 0
:::: FAILED :::: size: 3856 / 4045 :::: Compiler calls: 548, compilation errors: 526, runtime errors: 0, failed runs: 9, ok runs: 0
:::: FAILED :::: size: 3840 / 4045 :::: Compiler calls: 710, compilation errors: 685, runtime errors: 0, failed runs: 10, ok runs: 0
:::: FAILED :::: size: 3840 / 4045 :::: Compiler calls: 714, compilation errors: 693, runtime errors: 0, failed runs: 11, ok runs: 0
:::: FAILED :::: size: 3840 / 4045 :::: Compiler calls: 723, compilation errors: 697, runtime errors: 0, failed runs: 12, ok runs: 0
:::: FAILED :::: size: 3840 / 4045 :::: Compiler calls: 723, compilation errors: 697, runtime errors: 0, failed runs: 13, ok runs: 0
:::: FAILED :::: size: 3824 / 4045 :::: Compiler calls: 743, compilation errors: 715, runtime errors: 0, failed runs: 14, ok runs: 0
:::: FAILED :::: size: 3808 / 4045 :::: Compiler calls: 800, compilation errors: 770, runtime errors: 0, failed runs: 15, ok runs: 0
