Using executor CodeLineTestExecutor with executor options:
{
	m_modulePath='/home/lukasbosshart/workspace/defects4j/bugs/cli_1_b/',
	m_sourceFolderPath='src/java/',
	m_unitTestFolderPath='src/test/',
	m_unitTestMethod='org.apache.commons.cli.bug.BugCLI13Test#testCLI13',
	m_expectedResult='junit.framework.AssertionFailedError',
	m_compilationType=IN_MEMORY,
	m_logLevel=INFO,
	m_logCompilationErrors=false,
	m_logRuntimeErrors=false,
	m_multipleRuns=true,
	m_numberOfThreads=16,
	m_preSliceCode=false,
	m_graphAlgorithmFragmentLimit=0,
	m_graphAlgorithmEscalatingFragmentLimit=false,
}
############## RUNNING TEST NR. 0 ##############
Formatting code in source folder
:::: FAILED :::: size: 4045 / 4045 :::: Compiler calls: 2, compilation errors: 1, runtime errors: 0, failed runs: 1, ok runs: 0
:::: FAILED :::: size: 4013 / 4045 :::: Compiler calls: 199, compilation errors: 182, runtime errors: 0, failed runs: 2, ok runs: 0
:::: FAILED :::: size: 3981 / 4045 :::: Compiler calls: 267, compilation errors: 247, runtime errors: 2, failed runs: 3, ok runs: 0
:::: FAILED :::: size: 3950 / 4045 :::: Compiler calls: 337, compilation errors: 318, runtime errors: 3, failed runs: 4, ok runs: 0
:::: FAILED :::: size: 3919 / 4045 :::: Compiler calls: 428, compilation errors: 405, runtime errors: 3, failed runs: 5, ok runs: 0
:::: FAILED :::: size: 3888 / 4045 :::: Compiler calls: 520, compilation errors: 495, runtime errors: 4, failed runs: 6, ok runs: 0
:::: FAILED :::: size: 3856 / 4045 :::: Compiler calls: 598, compilation errors: 573, runtime errors: 4, failed runs: 7, ok runs: 0
:::: FAILED :::: size: 3840 / 4045 :::: Compiler calls: 767, compilation errors: 740, runtime errors: 4, failed runs: 8, ok runs: 0
:::: FAILED :::: size: 3824 / 4045 :::: Compiler calls: 812, compilation errors: 781, runtime errors: 8, failed runs: 9, ok runs: 0
:::: FAILED :::: size: 3808 / 4045 :::: Compiler calls: 861, compilation errors: 825, runtime errors: 11, failed runs: 10, ok runs: 0
:::: FAILED :::: size: 3792 / 4045 :::: Compiler calls: 903, compilation errors: 864, runtime errors: 13, failed runs: 11, ok runs: 0
:::: FAILED :::: size: 3776 / 4045 :::: Compiler calls: 962, compilation errors: 920, runtime errors: 15, failed runs: 12, ok runs: 0
:::: FAILED :::: size: 3760 / 4045 :::: Compiler calls: 1003, compilation errors: 957, runtime errors: 18, failed runs: 13, ok runs: 0
:::: FAILED :::: size: 3744 / 4045 :::: Compiler calls: 1068, compilation errors: 1021, runtime errors: 18, failed runs: 14, ok runs: 0
:::: FAILED :::: size: 3728 / 4045 :::: Compiler calls: 1117, compilation errors: 1067, runtime errors: 20, failed runs: 15, ok runs: 0
:::: FAILED :::: size: 3712 / 4045 :::: Compiler calls: 1186, compilation errors: 1133, runtime errors: 22, failed runs: 16, ok runs: 0
:::: FAILED :::: size: 3696 / 4045 :::: Compiler calls: 1260, compilation errors: 1205, runtime errors: 23, failed runs: 17, ok runs: 0
:::: FAILED :::: size: 3680 / 4045 :::: Compiler calls: 1363, compilation errors: 1307, runtime errors: 23, failed runs: 18, ok runs: 0
:::: FAILED :::: size: 3664 / 4045 :::: Compiler calls: 1461, compilation errors: 1401, runtime errors: 26, failed runs: 19, ok runs: 0
:::: FAILED :::: size: 3648 / 4045 :::: Compiler calls: 1573, compilation errors: 1510, runtime errors: 28, failed runs: 20, ok runs: 0
:::: FAILED :::: size: 3632 / 4045 :::: Compiler calls: 1662, compilation errors: 1597, runtime errors: 29, failed runs: 21, ok runs: 0
:::: FAILED :::: size: 3617 / 4045 :::: Compiler calls: 1873, compilation errors: 1807, runtime errors: 29, failed runs: 22, ok runs: 0
:::: FAILED :::: size: 3602 / 4045 :::: Compiler calls: 2103, compilation errors: 2051, runtime errors: 29, failed runs: 23, ok runs: 0
:::: FAILED :::: size: 3586 / 4045 :::: Compiler calls: 2271, compilation errors: 2203, runtime errors: 29, failed runs: 24, ok runs: 0
