Using executor CodeLineTestExecutor with executor options:
{
	m_modulePath='/home/lukasbosshart/workspace/defects4j/bugs/csv_4_b/',
	m_sourceFolderPath='src/main/java',
	m_unitTestFolderPath='src/test/java',
	m_unitTestMethod='org.apache.commons.csv.CSVParserTest#testNoHeaderMap',
	m_expectedResult='java.lang.NullPointerException',
	m_compilationType=IN_MEMORY,
	m_logLevel=INFO,
	m_logCompilationErrors=false,
	m_logRuntimeErrors=false,
	m_multipleRuns=true,
	m_numberOfThreads=16,
	m_preSliceCode=false,
	m_graphAlgorithmFragmentLimit=0,
	m_graphAlgorithmEscalatingFragmentLimit=false,
}
############## RUNNING TEST NR. 0 ##############
Formatting code in source folder
:::: FAILED :::: size: 2835 / 2835 :::: Compiler calls: 2, compilation errors: 1, runtime errors: 0, failed runs: 1, ok runs: 0
:::: FAILED :::: size: 2791 / 2835 :::: Compiler calls: 115, compilation errors: 98, runtime errors: 0, failed runs: 2, ok runs: 0
:::: FAILED :::: size: 2791 / 2835 :::: Compiler calls: 120, compilation errors: 102, runtime errors: 0, failed runs: 3, ok runs: 0
:::: FAILED :::: size: 2791 / 2835 :::: Compiler calls: 129, compilation errors: 110, runtime errors: 0, failed runs: 4, ok runs: 0
:::: FAILED :::: size: 2790 / 2835 :::: Compiler calls: 155, compilation errors: 135, runtime errors: 0, failed runs: 5, ok runs: 0
:::: FAILED :::: size: 2747 / 2835 :::: Compiler calls: 164, compilation errors: 143, runtime errors: 0, failed runs: 6, ok runs: 0
:::: FAILED :::: size: 2747 / 2835 :::: Compiler calls: 166, compilation errors: 145, runtime errors: 0, failed runs: 7, ok runs: 0
:::: FAILED :::: size: 2746 / 2835 :::: Compiler calls: 207, compilation errors: 184, runtime errors: 0, failed runs: 8, ok runs: 0
:::: FAILED :::: size: 2703 / 2835 :::: Compiler calls: 212, compilation errors: 188, runtime errors: 0, failed runs: 9, ok runs: 0
:::: FAILED :::: size: 2702 / 2835 :::: Compiler calls: 256, compilation errors: 232, runtime errors: 0, failed runs: 10, ok runs: 0
:::: FAILED :::: size: 2658 / 2835 :::: Compiler calls: 273, compilation errors: 255, runtime errors: 0, failed runs: 11, ok runs: 0
:::: FAILED :::: size: 2636 / 2835 :::: Compiler calls: 385, compilation errors: 359, runtime errors: 0, failed runs: 12, ok runs: 0
:::: FAILED :::: size: 2636 / 2835 :::: Compiler calls: 385, compilation errors: 363, runtime errors: 0, failed runs: 13, ok runs: 0
:::: FAILED :::: size: 2636 / 2835 :::: Compiler calls: 416, compilation errors: 387, runtime errors: 0, failed runs: 14, ok runs: 0
:::: FAILED :::: size: 2614 / 2835 :::: Compiler calls: 420, compilation errors: 390, runtime errors: 0, failed runs: 15, ok runs: 0
:::: FAILED :::: size: 2592 / 2835 :::: Compiler calls: 512, compilation errors: 481, runtime errors: 0, failed runs: 16, ok runs: 0
:::: FAILED :::: size: 2592 / 2835 :::: Compiler calls: 541, compilation errors: 509, runtime errors: 0, failed runs: 17, ok runs: 0
:::: FAILED :::: size: 2591 / 2835 :::: Compiler calls: 559, compilation errors: 527, runtime errors: 0, failed runs: 18, ok runs: 0
:::: FAILED :::: size: 2570 / 2835 :::: Compiler calls: 629, compilation errors: 596, runtime errors: 0, failed runs: 19, ok runs: 0
:::: FAILED :::: size: 2569 / 2835 :::: Compiler calls: 638, compilation errors: 603, runtime errors: 0, failed runs: 20, ok runs: 0
:::: FAILED :::: size: 2569 / 2835 :::: Compiler calls: 659, compilation errors: 623, runtime errors: 0, failed runs: 21, ok runs: 0
:::: FAILED :::: size: 2547 / 2835 :::: Compiler calls: 745, compilation errors: 717, runtime errors: 0, failed runs: 22, ok runs: 0
:::: FAILED :::: size: 2547 / 2835 :::: Compiler calls: 776, compilation errors: 738, runtime errors: 0, failed runs: 23, ok runs: 0
:::: FAILED :::: size: 2524 / 2835 :::: Compiler calls: 860, compilation errors: 831, runtime errors: 0, failed runs: 24, ok runs: 0
:::: FAILED :::: size: 2513 / 2835 :::: Compiler calls: 1014, compilation errors: 973, runtime errors: 1, failed runs: 25, ok runs: 0
:::: FAILED :::: size: 2513 / 2835 :::: Compiler calls: 1024, compilation errors: 982, runtime errors: 1, failed runs: 26, ok runs: 0
:::: FAILED :::: size: 2513 / 2835 :::: Compiler calls: 1029, compilation errors: 986, runtime errors: 1, failed runs: 27, ok runs: 0
:::: FAILED :::: size: 2502 / 2835 :::: Compiler calls: 1064, compilation errors: 1020, runtime errors: 1, failed runs: 28, ok runs: 0
:::: FAILED :::: size: 2502 / 2835 :::: Compiler calls: 1074, compilation errors: 1028, runtime errors: 2, failed runs: 29, ok runs: 0
:::: FAILED :::: size: 2502 / 2835 :::: Compiler calls: 1080, compilation errors: 1033, runtime errors: 2, failed runs: 30, ok runs: 0
:::: FAILED :::: size: 2502 / 2835 :::: Compiler calls: 1081, compilation errors: 1033, runtime errors: 2, failed runs: 31, ok runs: 0
:::: FAILED :::: size: 2491 / 2835 :::: Compiler calls: 1112, compilation errors: 1061, runtime errors: 4, failed runs: 32, ok runs: 0
:::: FAILED :::: size: 2491 / 2835 :::: Compiler calls: 1141, compilation errors: 1089, runtime errors: 4, failed runs: 33, ok runs: 0
:::: FAILED :::: size: 2491 / 2835 :::: Compiler calls: 1152, compilation errors: 1098, runtime errors: 5, failed runs: 34, ok runs: 0
:::: FAILED :::: size: 2480 / 2835 :::: Compiler calls: 1177, compilation errors: 1122, runtime errors: 5, failed runs: 35, ok runs: 0
:::: FAILED :::: size: 2480 / 2835 :::: Compiler calls: 1178, compilation errors: 1123, runtime errors: 5, failed runs: 36, ok runs: 0
:::: FAILED :::: size: 2480 / 2835 :::: Compiler calls: 1195, compilation errors: 1137, runtime errors: 6, failed runs: 37, ok runs: 0
:::: FAILED :::: size: 2480 / 2835 :::: Compiler calls: 1204, compilation errors: 1145, runtime errors: 6, failed runs: 38, ok runs: 0
:::: FAILED :::: size: 2480 / 2835 :::: Compiler calls: 1207, compilation errors: 1148, runtime errors: 6, failed runs: 39, ok runs: 0
:::: FAILED :::: size: 2469 / 2835 :::: Compiler calls: 1245, compilation errors: 1183, runtime errors: 7, failed runs: 40, ok runs: 0
:::: FAILED :::: size: 2469 / 2835 :::: Compiler calls: 1259, compilation errors: 1197, runtime errors: 7, failed runs: 41, ok runs: 0
:::: FAILED :::: size: 2469 / 2835 :::: Compiler calls: 1266, compilation errors: 1202, runtime errors: 8, failed runs: 42, ok runs: 0
:::: FAILED :::: size: 2469 / 2835 :::: Compiler calls: 1274, compilation errors: 1208, runtime errors: 8, failed runs: 43, ok runs: 0
:::: FAILED :::: size: 2458 / 2835 :::: Compiler calls: 1313, compilation errors: 1245, runtime errors: 9, failed runs: 44, ok runs: 0
:::: FAILED :::: size: 2458 / 2835 :::: Compiler calls: 1328, compilation errors: 1258, runtime errors: 10, failed runs: 45, ok runs: 0
:::: FAILED :::: size: 2458 / 2835 :::: Compiler calls: 1333, compilation errors: 1262, runtime errors: 10, failed runs: 46, ok runs: 0
:::: FAILED :::: size: 2458 / 2835 :::: Compiler calls: 1334, compilation errors: 1262, runtime errors: 10, failed runs: 47, ok runs: 0
:::: FAILED :::: size: 2447 / 2835 :::: Compiler calls: 1393, compilation errors: 1318, runtime errors: 12, failed runs: 48, ok runs: 0
:::: FAILED :::: size: 2447 / 2835 :::: Compiler calls: 1396, compilation errors: 1321, runtime errors: 12, failed runs: 49, ok runs: 0
:::: FAILED :::: size: 2447 / 2835 :::: Compiler calls: 1403, compilation errors: 1326, runtime errors: 12, failed runs: 50, ok runs: 0
:::: FAILED :::: size: 2447 / 2835 :::: Compiler calls: 1421, compilation errors: 1343, runtime errors: 12, failed runs: 51, ok runs: 0
:::: FAILED :::: size: 2447 / 2835 :::: Compiler calls: 1424, compilation errors: 1345, runtime errors: 12, failed runs: 52, ok runs: 0
:::: FAILED :::: size: 2436 / 2835 :::: Compiler calls: 1487, compilation errors: 1405, runtime errors: 14, failed runs: 53, ok runs: 0
:::: FAILED :::: size: 2436 / 2835 :::: Compiler calls: 1501, compilation errors: 1418, runtime errors: 14, failed runs: 54, ok runs: 0
:::: FAILED :::: size: 2436 / 2835 :::: Compiler calls: 1502, compilation errors: 1418, runtime errors: 14, failed runs: 55, ok runs: 0
:::: FAILED :::: size: 2436 / 2835 :::: Compiler calls: 1506, compilation errors: 1421, runtime errors: 14, failed runs: 56, ok runs: 0
:::: FAILED :::: size: 2425 / 2835 :::: Compiler calls: 1592, compilation errors: 1504, runtime errors: 16, failed runs: 57, ok runs: 0
:::: FAILED :::: size: 2425 / 2835 :::: Compiler calls: 1597, compilation errors: 1508, runtime errors: 16, failed runs: 58, ok runs: 0
:::: FAILED :::: size: 2425 / 2835 :::: Compiler calls: 1600, compilation errors: 1510, runtime errors: 16, failed runs: 59, ok runs: 0
:::: FAILED :::: size: 2414 / 2835 :::: Compiler calls: 1705, compilation errors: 1612, runtime errors: 18, failed runs: 60, ok runs: 0
:::: FAILED :::: size: 2414 / 2835 :::: Compiler calls: 1713, compilation errors: 1619, runtime errors: 18, failed runs: 61, ok runs: 0
:::: FAILED :::: size: 2403 / 2835 :::: Compiler calls: 1808, compilation errors: 1711, runtime errors: 20, failed runs: 62, ok runs: 0
:::: FAILED :::: size: 2403 / 2835 :::: Compiler calls: 1808, compilation errors: 1714, runtime errors: 20, failed runs: 63, ok runs: 0
:::: FAILED :::: size: 2392 / 2835 :::: Compiler calls: 1916, compilation errors: 1815, runtime errors: 22, failed runs: 64, ok runs: 0
:::: FAILED :::: size: 2381 / 2835 :::: Compiler calls: 2037, compilation errors: 1933, runtime errors: 24, failed runs: 65, ok runs: 0
:::: FAILED :::: size: 2381 / 2835 :::: Compiler calls: 2056, compilation errors: 1951, runtime errors: 24, failed runs: 66, ok runs: 0
:::: FAILED :::: size: 2381 / 2835 :::: Compiler calls: 2063, compilation errors: 1957, runtime errors: 24, failed runs: 67, ok runs: 0
:::: FAILED :::: size: 2370 / 2835 :::: Compiler calls: 2136, compilation errors: 2027, runtime errors: 26, failed runs: 68, ok runs: 0
:::: FAILED :::: size: 2370 / 2835 :::: Compiler calls: 2136, compilation errors: 2027, runtime errors: 26, failed runs: 69, ok runs: 0
:::: FAILED :::: size: 2370 / 2835 :::: Compiler calls: 2139, compilation errors: 2028, runtime errors: 26, failed runs: 70, ok runs: 0
:::: FAILED :::: size: 2370 / 2835 :::: Compiler calls: 2141, compilation errors: 2029, runtime errors: 26, failed runs: 71, ok runs: 0
:::: FAILED :::: size: 2370 / 2835 :::: Compiler calls: 2147, compilation errors: 2034, runtime errors: 26, failed runs: 72, ok runs: 0
:::: FAILED :::: size: 2370 / 2835 :::: Compiler calls: 2150, compilation errors: 2036, runtime errors: 26, failed runs: 73, ok runs: 0
:::: FAILED :::: size: 2370 / 2835 :::: Compiler calls: 2155, compilation errors: 2040, runtime errors: 26, failed runs: 74, ok runs: 0
:::: FAILED :::: size: 2359 / 2835 :::: Compiler calls: 2234, compilation errors: 2116, runtime errors: 28, failed runs: 75, ok runs: 0
:::: FAILED :::: size: 2359 / 2835 :::: Compiler calls: 2234, compilation errors: 2116, runtime errors: 28, failed runs: 76, ok runs: 0
:::: FAILED :::: size: 2359 / 2835 :::: Compiler calls: 2234, compilation errors: 2117, runtime errors: 28, failed runs: 77, ok runs: 0
:::: FAILED :::: size: 2359 / 2835 :::: Compiler calls: 2238, compilation errors: 2117, runtime errors: 28, failed runs: 78, ok runs: 0
:::: FAILED :::: size: 2359 / 2835 :::: Compiler calls: 2240, compilation errors: 2118, runtime errors: 28, failed runs: 79, ok runs: 0
:::: FAILED :::: size: 2359 / 2835 :::: Compiler calls: 2249, compilation errors: 2126, runtime errors: 28, failed runs: 80, ok runs: 0
:::: FAILED :::: size: 2348 / 2835 :::: Compiler calls: 2337, compilation errors: 2211, runtime errors: 30, failed runs: 81, ok runs: 0
:::: FAILED :::: size: 2348 / 2835 :::: Compiler calls: 2337, compilation errors: 2211, runtime errors: 30, failed runs: 82, ok runs: 0
:::: FAILED :::: size: 2348 / 2835 :::: Compiler calls: 2341, compilation errors: 2213, runtime errors: 30, failed runs: 83, ok runs: 0
:::: FAILED :::: size: 2348 / 2835 :::: Compiler calls: 2345, compilation errors: 2216, runtime errors: 30, failed runs: 84, ok runs: 0
:::: FAILED :::: size: 2348 / 2835 :::: Compiler calls: 2353, compilation errors: 2223, runtime errors: 30, failed runs: 85, ok runs: 0
:::: FAILED :::: size: 2337 / 2835 :::: Compiler calls: 2435, compilation errors: 2302, runtime errors: 32, failed runs: 86, ok runs: 0
:::: FAILED :::: size: 2337 / 2835 :::: Compiler calls: 2437, compilation errors: 2305, runtime errors: 32, failed runs: 87, ok runs: 0
:::: FAILED :::: size: 2337 / 2835 :::: Compiler calls: 2442, compilation errors: 2307, runtime errors: 32, failed runs: 88, ok runs: 0
:::: FAILED :::: size: 2337 / 2835 :::: Compiler calls: 2446, compilation errors: 2310, runtime errors: 32, failed runs: 89, ok runs: 0
:::: FAILED :::: size: 2326 / 2835 :::: Compiler calls: 2535, compilation errors: 2397, runtime errors: 34, failed runs: 90, ok runs: 0
:::: FAILED :::: size: 2326 / 2835 :::: Compiler calls: 2538, compilation errors: 2399, runtime errors: 34, failed runs: 91, ok runs: 0
:::: FAILED :::: size: 2326 / 2835 :::: Compiler calls: 2542, compilation errors: 2401, runtime errors: 34, failed runs: 92, ok runs: 0
:::: FAILED :::: size: 2315 / 2835 :::: Compiler calls: 2639, compilation errors: 2495, runtime errors: 36, failed runs: 93, ok runs: 0
:::: FAILED :::: size: 2315 / 2835 :::: Compiler calls: 2650, compilation errors: 2505, runtime errors: 36, failed runs: 94, ok runs: 0
:::: FAILED :::: size: 2304 / 2835 :::: Compiler calls: 2748, compilation errors: 2600, runtime errors: 38, failed runs: 95, ok runs: 0
:::: FAILED :::: size: 2304 / 2835 :::: Compiler calls: 2784, compilation errors: 2636, runtime errors: 38, failed runs: 96, ok runs: 0
:::: FAILED :::: size: 2293 / 2835 :::: Compiler calls: 2879, compilation errors: 2727, runtime errors: 40, failed runs: 97, ok runs: 0
