Using executor CodeLineTestExecutor with executor options:
{
	m_modulePath='/home/lukasbosshart/workspace/defects4j/bugs/lang_5_b/',
	m_sourceFolderPath='src/main/java/',
	m_unitTestFolderPath='src/test/java/',
	m_unitTestMethod='org.apache.commons.lang3.LocaleUtilsTest#testLang865',
	m_expectedResult='java.lang.IllegalArgumentException: Invalid locale format: _GB',
	m_compilationType=IN_MEMORY,
	m_logLevel=INFO,
	m_logCompilationErrors=false,
	m_logRuntimeErrors=false,
	m_multipleRuns=false,
	m_numberOfThreads=16,
	m_preSliceCode=false,
	m_graphAlgorithmFragmentLimit=0,
	m_graphAlgorithmEscalatingFragmentLimit=false,
}
############## RUNNING TEST NR. 0 ##############
Formatting code in source folder
:::: FAILED :::: size: 61231 / 61231 :::: Compiler calls: 2, compilation errors: 1, runtime errors: 0, failed runs: 1, ok runs: 0
:::: FAILED :::: size: 60753 / 61231 :::: Compiler calls: 241, compilation errors: 224, runtime errors: 0, failed runs: 2, ok runs: 0
:::: FAILED :::: size: 60514 / 61231 :::: Compiler calls: 498, compilation errors: 480, runtime errors: 0, failed runs: 3, ok runs: 0
:::: FAILED :::: size: 60275 / 61231 :::: Compiler calls: 648, compilation errors: 629, runtime errors: 0, failed runs: 4, ok runs: 0
:::: FAILED :::: size: 60036 / 61231 :::: Compiler calls: 825, compilation errors: 806, runtime errors: 0, failed runs: 5, ok runs: 0
:::: FAILED :::: size: 59916 / 61231 :::: Compiler calls: 1233, compilation errors: 1214, runtime errors: 0, failed runs: 6, ok runs: 0
:::: FAILED :::: size: 59797 / 61231 :::: Compiler calls: 1395, compilation errors: 1373, runtime errors: 0, failed runs: 7, ok runs: 0
:::: FAILED :::: size: 59677 / 61231 :::: Compiler calls: 1670, compilation errors: 1647, runtime errors: 0, failed runs: 8, ok runs: 0
:::: FAILED :::: size: 59557 / 61231 :::: Compiler calls: 1934, compilation errors: 1910, runtime errors: 0, failed runs: 9, ok runs: 0
:::: FAILED :::: size: 59438 / 61231 :::: Compiler calls: 2212, compilation errors: 2187, runtime errors: 0, failed runs: 10, ok runs: 0
:::: FAILED :::: size: 59319 / 61231 :::: Compiler calls: 2501, compilation errors: 2475, runtime errors: 0, failed runs: 11, ok runs: 0
:::: FAILED :::: size: 59200 / 61231 :::: Compiler calls: 2792, compilation errors: 2765, runtime errors: 0, failed runs: 12, ok runs: 0
:::: FAILED :::: size: 59081 / 61231 :::: Compiler calls: 3099, compilation errors: 3071, runtime errors: 0, failed runs: 13, ok runs: 0
:::: FAILED :::: size: 58962 / 61231 :::: Compiler calls: 3446, compilation errors: 3417, runtime errors: 0, failed runs: 14, ok runs: 0
:::: FAILED :::: size: 58843 / 61231 :::: Compiler calls: 3759, compilation errors: 3730, runtime errors: 0, failed runs: 15, ok runs: 0
:::: FAILED :::: size: 58783 / 61231 :::: Compiler calls: 4317, compilation errors: 4286, runtime errors: 0, failed runs: 16, ok runs: 0
:::: FAILED :::: size: 58783 / 61231 :::: Compiler calls: 4318, compilation errors: 4288, runtime errors: 0, failed runs: 17, ok runs: 0
:::: FAILED :::: size: 58723 / 61231 :::: Compiler calls: 4395, compilation errors: 4362, runtime errors: 0, failed runs: 18, ok runs: 0
:::: FAILED :::: size: 58663 / 61231 :::: Compiler calls: 4465, compilation errors: 4431, runtime errors: 0, failed runs: 19, ok runs: 0
:::: FAILED :::: size: 58603 / 61231 :::: Compiler calls: 4713, compilation errors: 4678, runtime errors: 0, failed runs: 20, ok runs: 0
:::: FAILED :::: size: 58603 / 61231 :::: Compiler calls: 4714, compilation errors: 4679, runtime errors: 0, failed runs: 21, ok runs: 0
:::: FAILED :::: size: 58543 / 61231 :::: Compiler calls: 4963, compilation errors: 4926, runtime errors: 0, failed runs: 22, ok runs: 0
