Using executor CodeLineTestExecutor with executor options:
{
	m_modulePath='/home/lukasbosshart/workspace/defects4j/bugs/jsoup_9_b/',
	m_sourceFolderPath='src/main/java/',
	m_unitTestFolderPath='src/test/java/',
	m_unitTestMethod='org.jsoup.nodes.EntitiesTest#unescape',
	m_expectedResult='org.junit.ComparisonFailure',
	m_compilationType=IN_MEMORY,
	m_logLevel=INFO,
	m_logCompilationErrors=false,
	m_logRuntimeErrors=false,
	m_multipleRuns=false,
	m_numberOfThreads=16,
	m_preSliceCode=false,
	m_graphAlgorithmFragmentLimit=0,
	m_graphAlgorithmEscalatingFragmentLimit=false,
}
############## RUNNING TEST NR. 0 ##############
Formatting code in source folder
:::: FAILED :::: size: 8071 / 8071 :::: Compiler calls: 2, compilation errors: 1, runtime errors: 0, failed runs: 1, ok runs: 0
:::: FAILED :::: size: 7567 / 8071 :::: Compiler calls: 32, compilation errors: 30, runtime errors: 0, failed runs: 2, ok runs: 0
:::: FAILED :::: size: 7441 / 8071 :::: Compiler calls: 137, compilation errors: 131, runtime errors: 0, failed runs: 3, ok runs: 0
:::: FAILED :::: size: 7378 / 8071 :::: Compiler calls: 313, compilation errors: 307, runtime errors: 0, failed runs: 4, ok runs: 0
:::: FAILED :::: size: 7347 / 8071 :::: Compiler calls: 579, compilation errors: 560, runtime errors: 0, failed runs: 5, ok runs: 0
:::: FAILED :::: size: 7346 / 8071 :::: Compiler calls: 581, compilation errors: 568, runtime errors: 0, failed runs: 6, ok runs: 0
:::: FAILED :::: size: 7346 / 8071 :::: Compiler calls: 581, compilation errors: 568, runtime errors: 0, failed runs: 7, ok runs: 0
:::: FAILED :::: size: 7316 / 8071 :::: Compiler calls: 737, compilation errors: 714, runtime errors: 0, failed runs: 8, ok runs: 0
:::: FAILED :::: size: 7315 / 8071 :::: Compiler calls: 738, compilation errors: 719, runtime errors: 0, failed runs: 9, ok runs: 0
:::: FAILED :::: size: 7284 / 8071 :::: Compiler calls: 889, compilation errors: 864, runtime errors: 0, failed runs: 10, ok runs: 0
:::: FAILED :::: size: 7253 / 8071 :::: Compiler calls: 1121, compilation errors: 1102, runtime errors: 0, failed runs: 11, ok runs: 0
:::: FAILED :::: size: 7253 / 8071 :::: Compiler calls: 1121, compilation errors: 1102, runtime errors: 0, failed runs: 12, ok runs: 0
:::: FAILED :::: size: 7253 / 8071 :::: Compiler calls: 1121, compilation errors: 1106, runtime errors: 0, failed runs: 13, ok runs: 0
:::: FAILED :::: size: 7221 / 8071 :::: Compiler calls: 1351, compilation errors: 1334, runtime errors: 0, failed runs: 14, ok runs: 0
:::: FAILED :::: size: 7222 / 8071 :::: Compiler calls: 1351, compilation errors: 1334, runtime errors: 0, failed runs: 15, ok runs: 0
:::: FAILED :::: size: 7190 / 8071 :::: Compiler calls: 1580, compilation errors: 1562, runtime errors: 0, failed runs: 16, ok runs: 0
:::: FAILED :::: size: 7174 / 8071 :::: Compiler calls: 1903, compilation errors: 1872, runtime errors: 0, failed runs: 17, ok runs: 0
:::: FAILED :::: size: 7158 / 8071 :::: Compiler calls: 2105, compilation errors: 2072, runtime errors: 0, failed runs: 18, ok runs: 0
:::: FAILED :::: size: 7142 / 8071 :::: Compiler calls: 2328, compilation errors: 2294, runtime errors: 0, failed runs: 19, ok runs: 0
:::: FAILED :::: size: 7142 / 8071 :::: Compiler calls: 2329, compilation errors: 2309, runtime errors: 0, failed runs: 20, ok runs: 0
:::: FAILED :::: size: 7126 / 8071 :::: Compiler calls: 2586, compilation errors: 2550, runtime errors: 0, failed runs: 21, ok runs: 0
:::: FAILED :::: size: 7126 / 8071 :::: Compiler calls: 2587, compilation errors: 2551, runtime errors: 0, failed runs: 22, ok runs: 0
:::: FAILED :::: size: 7127 / 8071 :::: Compiler calls: 2587, compilation errors: 2559, runtime errors: 0, failed runs: 23, ok runs: 0
:::: FAILED :::: size: 7110 / 8071 :::: Compiler calls: 2847, compilation errors: 2809, runtime errors: 0, failed runs: 24, ok runs: 0
:::: FAILED :::: size: 7111 / 8071 :::: Compiler calls: 2848, compilation errors: 2821, runtime errors: 0, failed runs: 25, ok runs: 0
:::: FAILED :::: size: 7095 / 8071 :::: Compiler calls: 3122, compilation errors: 3082, runtime errors: 0, failed runs: 26, ok runs: 0
:::: FAILED :::: size: 7094 / 8071 :::: Compiler calls: 3127, compilation errors: 3100, runtime errors: 0, failed runs: 27, ok runs: 0
:::: FAILED :::: size: 7079 / 8071 :::: Compiler calls: 3406, compilation errors: 3363, runtime errors: 0, failed runs: 28, ok runs: 0
:::: FAILED :::: size: 7064 / 8071 :::: Compiler calls: 3698, compilation errors: 3654, runtime errors: 0, failed runs: 29, ok runs: 0
:::: FAILED :::: size: 7049 / 8071 :::: Compiler calls: 4049, compilation errors: 4004, runtime errors: 0, failed runs: 30, ok runs: 0
:::: FAILED :::: size: 7033 / 8071 :::: Compiler calls: 4473, compilation errors: 4427, runtime errors: 0, failed runs: 31, ok runs: 0
:::: FAILED :::: size: 7034 / 8071 :::: Compiler calls: 4474, compilation errors: 4432, runtime errors: 0, failed runs: 32, ok runs: 0
:::: FAILED :::: size: 7034 / 8071 :::: Compiler calls: 4474, compilation errors: 4433, runtime errors: 0, failed runs: 33, ok runs: 0
:::: FAILED :::: size: 7033 / 8071 :::: Compiler calls: 4474, compilation errors: 4436, runtime errors: 0, failed runs: 34, ok runs: 0
:::: FAILED :::: size: 7018 / 8071 :::: Compiler calls: 4901, compilation errors: 4851, runtime errors: 0, failed runs: 35, ok runs: 0
:::: FAILED :::: size: 7017 / 8071 :::: Compiler calls: 4905, compilation errors: 4863, runtime errors: 0, failed runs: 36, ok runs: 0
:::: FAILED :::: size: 7018 / 8071 :::: Compiler calls: 4905, compilation errors: 4866, runtime errors: 0, failed runs: 37, ok runs: 0
:::: FAILED :::: size: 7003 / 8071 :::: Compiler calls: 5319, compilation errors: 5267, runtime errors: 0, failed runs: 38, ok runs: 0
:::: FAILED :::: size: 7003 / 8071 :::: Compiler calls: 5321, compilation errors: 5278, runtime errors: 0, failed runs: 39, ok runs: 0
:::: FAILED :::: size: 6987 / 8071 :::: Compiler calls: 5722, compilation errors: 5669, runtime errors: 0, failed runs: 40, ok runs: 0
:::: FAILED :::: size: 6971 / 8071 :::: Compiler calls: 6168, compilation errors: 6125, runtime errors: 0, failed runs: 41, ok runs: 0
:::: FAILED :::: size: 6963 / 8071 :::: Compiler calls: 6689, compilation errors: 6632, runtime errors: 0, failed runs: 42, ok runs: 0
:::: FAILED :::: size: 6963 / 8071 :::: Compiler calls: 6690, compilation errors: 6643, runtime errors: 0, failed runs: 43, ok runs: 0
:::: FAILED :::: size: 6955 / 8071 :::: Compiler calls: 6802, compilation errors: 6743, runtime errors: 0, failed runs: 44, ok runs: 0
:::: FAILED :::: size: 6955 / 8071 :::: Compiler calls: 6803, compilation errors: 6743, runtime errors: 0, failed runs: 45, ok runs: 0
:::: FAILED :::: size: 6955 / 8071 :::: Compiler calls: 6803, compilation errors: 6752, runtime errors: 0, failed runs: 46, ok runs: 0
:::: FAILED :::: size: 6955 / 8071 :::: Compiler calls: 6803, compilation errors: 6756, runtime errors: 0, failed runs: 47, ok runs: 0
:::: FAILED :::: size: 6947 / 8071 :::: Compiler calls: 6924, compilation errors: 6861, runtime errors: 0, failed runs: 48, ok runs: 0
:::: FAILED :::: size: 6947 / 8071 :::: Compiler calls: 6925, compilation errors: 6863, runtime errors: 0, failed runs: 49, ok runs: 0
:::: FAILED :::: size: 6947 / 8071 :::: Compiler calls: 6925, compilation errors: 6871, runtime errors: 0, failed runs: 50, ok runs: 0
:::: FAILED :::: size: 6939 / 8071 :::: Compiler calls: 7058, compilation errors: 6992, runtime errors: 0, failed runs: 51, ok runs: 0
:::: FAILED :::: size: 6939 / 8071 :::: Compiler calls: 7059, compilation errors: 6994, runtime errors: 0, failed runs: 52, ok runs: 0
:::: FAILED :::: size: 6939 / 8071 :::: Compiler calls: 7059, compilation errors: 7005, runtime errors: 0, failed runs: 53, ok runs: 0
:::: FAILED :::: size: 6931 / 8071 :::: Compiler calls: 7200, compilation errors: 7131, runtime errors: 0, failed runs: 54, ok runs: 0
:::: FAILED :::: size: 6931 / 8071 :::: Compiler calls: 7201, compilation errors: 7133, runtime errors: 0, failed runs: 55, ok runs: 0
