Using executor CodeLineTestExecutor with executor options:
{
	m_modulePath='/home/lukasbosshart/workspace/defects4j/bugs/jsoup_9_b/',
	m_sourceFolderPath='src/main/java/',
	m_unitTestFolderPath='src/test/java/',
	m_unitTestMethod='org.jsoup.nodes.EntitiesTest#unescape',
	m_expectedResult='org.junit.ComparisonFailure',
	m_compilationType=IN_MEMORY,
	m_logLevel=INFO,
	m_logCompilationErrors=false,
	m_logRuntimeErrors=false,
	m_multipleRuns=true,
	m_numberOfThreads=16,
	m_preSliceCode=false,
	m_graphAlgorithmFragmentLimit=0,
	m_graphAlgorithmEscalatingFragmentLimit=false,
}
############## RUNNING TEST NR. 0 ##############
Formatting code in source folder
:::: FAILED :::: size: 8071 / 8071 :::: Compiler calls: 2, compilation errors: 1, runtime errors: 0, failed runs: 1, ok runs: 0
:::: FAILED :::: size: 7567 / 8071 :::: Compiler calls: 32, compilation errors: 30, runtime errors: 0, failed runs: 2, ok runs: 0
:::: FAILED :::: size: 7441 / 8071 :::: Compiler calls: 137, compilation errors: 132, runtime errors: 0, failed runs: 3, ok runs: 0
:::: FAILED :::: size: 7378 / 8071 :::: Compiler calls: 313, compilation errors: 309, runtime errors: 0, failed runs: 4, ok runs: 0
:::: FAILED :::: size: 7347 / 8071 :::: Compiler calls: 577, compilation errors: 557, runtime errors: 0, failed runs: 5, ok runs: 0
:::: FAILED :::: size: 7316 / 8071 :::: Compiler calls: 736, compilation errors: 713, runtime errors: 2, failed runs: 6, ok runs: 0
:::: FAILED :::: size: 7284 / 8071 :::: Compiler calls: 896, compilation errors: 871, runtime errors: 3, failed runs: 7, ok runs: 0
:::: FAILED :::: size: 7253 / 8071 :::: Compiler calls: 1128, compilation errors: 1110, runtime errors: 3, failed runs: 8, ok runs: 0
:::: FAILED :::: size: 7221 / 8071 :::: Compiler calls: 1358, compilation errors: 1339, runtime errors: 5, failed runs: 9, ok runs: 0
:::: FAILED :::: size: 7190 / 8071 :::: Compiler calls: 1587, compilation errors: 1569, runtime errors: 6, failed runs: 10, ok runs: 0
:::: FAILED :::: size: 7174 / 8071 :::: Compiler calls: 1908, compilation errors: 1876, runtime errors: 6, failed runs: 11, ok runs: 0
:::: FAILED :::: size: 7158 / 8071 :::: Compiler calls: 2116, compilation errors: 2083, runtime errors: 6, failed runs: 12, ok runs: 0
:::: FAILED :::: size: 7142 / 8071 :::: Compiler calls: 2368, compilation errors: 2334, runtime errors: 6, failed runs: 13, ok runs: 0
:::: FAILED :::: size: 7126 / 8071 :::: Compiler calls: 2626, compilation errors: 2589, runtime errors: 8, failed runs: 14, ok runs: 0
:::: FAILED :::: size: 7110 / 8071 :::: Compiler calls: 2879, compilation errors: 2840, runtime errors: 10, failed runs: 15, ok runs: 0
:::: FAILED :::: size: 7095 / 8071 :::: Compiler calls: 3135, compilation errors: 3094, runtime errors: 11, failed runs: 16, ok runs: 0
:::: FAILED :::: size: 7079 / 8071 :::: Compiler calls: 3421, compilation errors: 3378, runtime errors: 11, failed runs: 17, ok runs: 0
:::: FAILED :::: size: 7064 / 8071 :::: Compiler calls: 3710, compilation errors: 3666, runtime errors: 11, failed runs: 18, ok runs: 0
:::: FAILED :::: size: 7049 / 8071 :::: Compiler calls: 4051, compilation errors: 4006, runtime errors: 11, failed runs: 19, ok runs: 0
:::: FAILED :::: size: 7034 / 8071 :::: Compiler calls: 4471, compilation errors: 4425, runtime errors: 11, failed runs: 20, ok runs: 0
:::: FAILED :::: size: 7018 / 8071 :::: Compiler calls: 4874, compilation errors: 4824, runtime errors: 14, failed runs: 21, ok runs: 0
:::: FAILED :::: size: 7003 / 8071 :::: Compiler calls: 5311, compilation errors: 5260, runtime errors: 15, failed runs: 22, ok runs: 0
:::: FAILED :::: size: 6988 / 8071 :::: Compiler calls: 5758, compilation errors: 5709, runtime errors: 17, failed runs: 23, ok runs: 0
:::: FAILED :::: size: 6972 / 8071 :::: Compiler calls: 6121, compilation errors: 6064, runtime errors: 18, failed runs: 24, ok runs: 0
:::: FAILED :::: size: 6956 / 8071 :::: Compiler calls: 6484, compilation errors: 6425, runtime errors: 19, failed runs: 25, ok runs: 0
:::: FAILED :::: size: 6940 / 8071 :::: Compiler calls: 6926, compilation errors: 6874, runtime errors: 19, failed runs: 26, ok runs: 0
:::: FAILED :::: size: 6932 / 8071 :::: Compiler calls: 7419, compilation errors: 7358, runtime errors: 19, failed runs: 27, ok runs: 0
:::: FAILED :::: size: 6924 / 8071 :::: Compiler calls: 7535, compilation errors: 7474, runtime errors: 19, failed runs: 28, ok runs: 0
:::: FAILED :::: size: 6916 / 8071 :::: Compiler calls: 7653, compilation errors: 7587, runtime errors: 22, failed runs: 29, ok runs: 0
:::: FAILED :::: size: 6908 / 8071 :::: Compiler calls: 7772, compilation errors: 7703, runtime errors: 24, failed runs: 30, ok runs: 0
:::: FAILED :::: size: 6900 / 8071 :::: Compiler calls: 7903, compilation errors: 7833, runtime errors: 25, failed runs: 31, ok runs: 0
:::: FAILED :::: size: 6892 / 8071 :::: Compiler calls: 8062, compilation errors: 7990, runtime errors: 26, failed runs: 32, ok runs: 0
:::: FAILED :::: size: 6884 / 8071 :::: Compiler calls: 8240, compilation errors: 8165, runtime errors: 27, failed runs: 33, ok runs: 0
:::: FAILED :::: size: 6876 / 8071 :::: Compiler calls: 8439, compilation errors: 8362, runtime errors: 28, failed runs: 34, ok runs: 0
:::: FAILED :::: size: 6868 / 8071 :::: Compiler calls: 8646, compilation errors: 8567, runtime errors: 29, failed runs: 35, ok runs: 0
:::: FAILED :::: size: 6860 / 8071 :::: Compiler calls: 8889, compilation errors: 8809, runtime errors: 29, failed runs: 36, ok runs: 0
:::: FAILED :::: size: 6852 / 8071 :::: Compiler calls: 9146, compilation errors: 9065, runtime errors: 29, failed runs: 37, ok runs: 0
:::: FAILED :::: size: 6844 / 8071 :::: Compiler calls: 9471, compilation errors: 9389, runtime errors: 29, failed runs: 38, ok runs: 0
:::: FAILED :::: size: 6836 / 8071 :::: Compiler calls: 9793, compilation errors: 9710, runtime errors: 31, failed runs: 39, ok runs: 0
:::: FAILED :::: size: 6828 / 8071 :::: Compiler calls: 10141, compilation errors: 10055, runtime errors: 31, failed runs: 40, ok runs: 0
:::: FAILED :::: size: 6820 / 8071 :::: Compiler calls: 10560, compilation errors: 10474, runtime errors: 31, failed runs: 41, ok runs: 0
:::: FAILED :::: size: 6812 / 8071 :::: Compiler calls: 10950, compilation errors: 10862, runtime errors: 31, failed runs: 42, ok runs: 0
:::: FAILED :::: size: 6804 / 8071 :::: Compiler calls: 11412, compilation errors: 11324, runtime errors: 31, failed runs: 43, ok runs: 0
:::: FAILED :::: size: 6796 / 8071 :::: Compiler calls: 11888, compilation errors: 11796, runtime errors: 33, failed runs: 44, ok runs: 0
