Using executor CodeLineTestExecutor with executor options:
{
	m_modulePath='/home/lukasbosshart/workspace/defects4j/bugs/csv_4_b/',
	m_sourceFolderPath='src/main/java',
	m_unitTestFolderPath='src/test/java',
	m_unitTestMethod='org.apache.commons.csv.CSVParserTest#testNoHeaderMap',
	m_expectedResult='java.lang.NullPointerException',
	m_compilationType=IN_MEMORY,
	m_logLevel=INFO,
	m_logCompilationErrors=false,
	m_logRuntimeErrors=false,
	m_multipleRuns=false,
	m_numberOfThreads=16,
	m_preSliceCode=false,
	m_graphAlgorithmFragmentLimit=0,
	m_graphAlgorithmEscalatingFragmentLimit=false,
}
############## RUNNING TEST NR. 0 ##############
Formatting code in source folder
:::: FAILED :::: size: 2835 / 2835 :::: Compiler calls: 2, compilation errors: 1, runtime errors: 0, failed runs: 1, ok runs: 0
:::: FAILED :::: size: 2791 / 2835 :::: Compiler calls: 111, compilation errors: 94, runtime errors: 0, failed runs: 2, ok runs: 0
:::: FAILED :::: size: 2791 / 2835 :::: Compiler calls: 112, compilation errors: 95, runtime errors: 0, failed runs: 3, ok runs: 0
:::: FAILED :::: size: 2791 / 2835 :::: Compiler calls: 118, compilation errors: 99, runtime errors: 0, failed runs: 4, ok runs: 0
:::: FAILED :::: size: 2747 / 2835 :::: Compiler calls: 163, compilation errors: 144, runtime errors: 0, failed runs: 5, ok runs: 0
:::: FAILED :::: size: 2747 / 2835 :::: Compiler calls: 173, compilation errors: 152, runtime errors: 0, failed runs: 6, ok runs: 0
:::: FAILED :::: size: 2703 / 2835 :::: Compiler calls: 218, compilation errors: 196, runtime errors: 0, failed runs: 7, ok runs: 0
:::: FAILED :::: size: 2658 / 2835 :::: Compiler calls: 280, compilation errors: 269, runtime errors: 0, failed runs: 8, ok runs: 0
:::: FAILED :::: size: 2636 / 2835 :::: Compiler calls: 389, compilation errors: 365, runtime errors: 0, failed runs: 9, ok runs: 0
:::: FAILED :::: size: 2636 / 2835 :::: Compiler calls: 400, compilation errors: 376, runtime errors: 0, failed runs: 10, ok runs: 0
:::: FAILED :::: size: 2614 / 2835 :::: Compiler calls: 426, compilation errors: 400, runtime errors: 0, failed runs: 11, ok runs: 0
:::: FAILED :::: size: 2592 / 2835 :::: Compiler calls: 527, compilation errors: 500, runtime errors: 0, failed runs: 12, ok runs: 0
:::: FAILED :::: size: 2592 / 2835 :::: Compiler calls: 529, compilation errors: 504, runtime errors: 0, failed runs: 13, ok runs: 0
:::: FAILED :::: size: 2570 / 2835 :::: Compiler calls: 636, compilation errors: 609, runtime errors: 0, failed runs: 14, ok runs: 0
:::: FAILED :::: size: 2569 / 2835 :::: Compiler calls: 663, compilation errors: 633, runtime errors: 0, failed runs: 15, ok runs: 0
:::: FAILED :::: size: 2547 / 2835 :::: Compiler calls: 755, compilation errors: 731, runtime errors: 0, failed runs: 16, ok runs: 0
:::: FAILED :::: size: 2524 / 2835 :::: Compiler calls: 870, compilation errors: 853, runtime errors: 0, failed runs: 17, ok runs: 0
:::: FAILED :::: size: 2513 / 2835 :::: Compiler calls: 1022, compilation errors: 990, runtime errors: 0, failed runs: 18, ok runs: 0
:::: FAILED :::: size: 2513 / 2835 :::: Compiler calls: 1035, compilation errors: 1002, runtime errors: 1, failed runs: 19, ok runs: 0
:::: FAILED :::: size: 2513 / 2835 :::: Compiler calls: 1043, compilation errors: 1007, runtime errors: 1, failed runs: 20, ok runs: 0
:::: FAILED :::: size: 2502 / 2835 :::: Compiler calls: 1071, compilation errors: 1033, runtime errors: 2, failed runs: 21, ok runs: 0
:::: FAILED :::: size: 2502 / 2835 :::: Compiler calls: 1072, compilation errors: 1035, runtime errors: 2, failed runs: 22, ok runs: 0
:::: FAILED :::: size: 2491 / 2835 :::: Compiler calls: 1123, compilation errors: 1082, runtime errors: 3, failed runs: 23, ok runs: 0
:::: FAILED :::: size: 2480 / 2835 :::: Compiler calls: 1189, compilation errors: 1146, runtime errors: 4, failed runs: 24, ok runs: 0
:::: FAILED :::: size: 2480 / 2835 :::: Compiler calls: 1200, compilation errors: 1157, runtime errors: 4, failed runs: 25, ok runs: 0
:::: FAILED :::: size: 2480 / 2835 :::: Compiler calls: 1213, compilation errors: 1167, runtime errors: 5, failed runs: 26, ok runs: 0
:::: FAILED :::: size: 2469 / 2835 :::: Compiler calls: 1254, compilation errors: 1206, runtime errors: 6, failed runs: 27, ok runs: 0
